[2026-05-05 15:58:13.439] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.452] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:13.464] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.476] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.490] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.501] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.513] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.526] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.537] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.549] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:13.564] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.574] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.586] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.599] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.611] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.623] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.637] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.648] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:13.660] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.673] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.685] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.697] tag=0x0007  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:58:13.710] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.722] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.735] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:13.748] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.761] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.771] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:13.784] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.796] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.809] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:13.823] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.834] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.845] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.859] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.870] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:13.882] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.895] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.907] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.919] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:13.933] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.944] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:13.956] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:13.969] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:13.981] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:13.999] tag=0x0007  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:58:14.007] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.018] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:14.031] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.043] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:14.055] tag=0x0007  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:58:14.068] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:14.080] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:14.092] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.105] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:14.117] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.129] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.142] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.155] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.166] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.179] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.192] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:14.203] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:14.216] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:14.228] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.240] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.253] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:14.265] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:14.277] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.291] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.303] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:14.314] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.327] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.339] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.351] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:14.364] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:14.376] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.388] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.401] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.413] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.425] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.438] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:14.450] tag=0x0007  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:58:14.462] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:14.475] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.487] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.499] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.512] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.524] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.536] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:14.549] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:14.562] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.573] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:14.586] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:14.598] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.610] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:14.624] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.636] tag=0x0007  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:58:14.648] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.661] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:14.673] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:14.685] tag=0x0007  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:58:14.698] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.710] tag=0x0007  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:58:14.722] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:14.735] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
