[2026-05-05 15:55:06.074] tag=0x0005  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 15:55:06.086] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.098] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.111] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.123] tag=0x0005  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:55:06.135] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.147] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.159] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.171] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.183] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.195] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.207] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.219] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.231] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.243] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.254] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.266] tag=0x0005  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:55:06.278] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.290] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.302] tag=0x0005  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:55:06.315] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.326] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.338] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.350] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.362] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.374] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.386] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.398] tag=0x0005  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:55:06.410] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.422] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.434] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.446] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.458] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.470] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.483] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.495] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.506] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.518] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.531] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.543] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.556] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.567] tag=0x0005  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:55:06.580] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.590] tag=0x0005  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:55:06.601] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.613] tag=0x0005  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:55:06.625] tag=0x0005  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:55:06.637] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.649] tag=0x0005  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:55:06.661] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.673] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.685] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.697] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.709] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.721] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.733] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.746] tag=0x0005  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:55:06.758] tag=0x0005  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:55:06.770] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.782] tag=0x0005  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:55:06.794] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.806] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.818] tag=0x0005  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:55:06.830] tag=0x0005  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:55:06.842] tag=0x0005  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:55:06.854] tag=0x0005  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:55:06.866] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:55:06.877] tag=0x0005  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:55:06.889] tag=0x0005  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:55:06.901] tag=0x0005  rs= 0  na= 1 | 1001 : 6604
