[2026-05-05 16:00:15.680] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:15.692] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:15.705] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:15.718] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:15.730] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:15.742] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:15.756] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:15.767] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:15.781] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:15.793] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:15.805] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:15.818] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:15.830] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:15.843] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:15.855] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:15.868] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:15.881] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:15.894] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:15.906] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:15.919] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:15.931] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:15.944] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:15.957] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:15.969] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:15.982] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:15.995] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.006] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.020] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.032] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.044] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.057] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.069] tag=0x0009  rs= 0  na= 1 | 1001 : 6726
[2026-05-05 16:00:16.083] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.095] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.108] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.120] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.133] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.146] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.158] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.171] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.183] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.196] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.208] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.221] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.233] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.245] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:16.259] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.271] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.284] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:16.297] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.309] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.322] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.334] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.347] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:16.359] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.372] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:16.385] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.396] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.410] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.421] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.435] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.447] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.460] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:16.474] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:16.485] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.498] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.511] tag=0x0009  rs= 0  na= 1 | 1001 : 6717
[2026-05-05 16:00:16.523] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:16.536] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.548] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:16.561] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.573] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:16.586] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.598] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.611] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:16.624] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.636] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.649] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.662] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:16.674] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.687] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.700] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.712] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:16.724] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.737] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:16.749] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.762] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.775] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.787] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.800] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.812] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.825] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.838] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.850] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:16.862] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.874] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:16.888] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:16.900] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:16.914] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.927] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.938] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:16.951] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:16.964] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:16.976] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:16.989] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.001] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:17.015] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.026] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:17.039] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.051] tag=0x0009  rs= 0  na= 1 | 1001 : 6717
[2026-05-05 16:00:17.064] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.077] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.089] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.102] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.115] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:17.128] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.139] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.152] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:17.165] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.177] tag=0x0009  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 16:00:17.190] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.202] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.215] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:17.228] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.240] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.253] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.265] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.278] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:17.290] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.303] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:17.316] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.328] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:17.341] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.353] tag=0x0009  rs= 0  na= 1 | 1001 : 6707
[2026-05-05 16:00:17.367] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:17.378] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:17.391] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.404] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.416] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:17.429] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:17.441] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.454] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.466] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.479] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.492] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:17.504] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:17.517] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:17.529] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.542] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.556] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:17.568] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:17.581] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:17.593] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:17.606] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:17.618] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.630] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.643] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.655] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.668] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.680] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.693] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.706] tag=0x0009  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 16:00:17.718] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.731] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:17.743] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:17.757] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:17.770] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.783] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.795] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:17.807] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.819] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:17.831] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:17.844] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:17.857] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.870] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:17.883] tag=0x0009  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 16:00:17.894] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:17.908] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.921] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.932] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:17.945] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:17.957] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:17.969] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:17.982] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:17.995] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:18.007] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:18.019] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:18.033] tag=0x0009  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 16:00:18.046] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:18.059] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:18.070] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:18.083] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:18.096] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:18.108] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:18.121] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:18.133] tag=0x0009  rs= 0  na= 1 | 1001 : 6717
[2026-05-05 16:00:18.146] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:18.159] tag=0x0009  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 16:00:18.171] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:18.184] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:18.196] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:18.210] tag=0x0009  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 16:00:18.223] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:18.234] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:18.247] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:18.259] tag=0x0009  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 16:00:18.272] tag=0x0009  rs= 0  na= 1 | 1001 : 6698
[2026-05-05 16:00:18.284] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:18.297] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:18.310] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:18.324] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:18.336] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:18.347] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:18.365] tag=0x0009  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 16:00:18.372] tag=0x0009  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 16:00:18.385] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:18.398] tag=0x0009  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 16:00:18.410] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:18.423] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 16:00:18.435] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:18.448] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:18.461] tag=0x0009  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 16:00:18.474] tag=0x0009  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 16:00:18.486] tag=0x0009  rs= 0  na= 1 | 1001 : 6679
