[2026-05-05 15:39:52.281] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.293] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.306] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.318] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.331] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.345] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:52.356] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.368] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.381] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.392] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.403] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.415] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:52.427] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.440] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.452] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.464] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:52.477] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.490] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.500] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:52.514] tag=0x0001  rs= 0  na= 1 | 1006 : 6538
[2026-05-05 15:39:52.525] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.537] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.549] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.561] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:52.574] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.586] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:52.598] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.612] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:52.623] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:52.636] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.648] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:52.659] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.671] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.683] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:52.695] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.708] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:52.720] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.732] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.745] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:52.757] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.768] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.781] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.793] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.805] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:52.817] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:52.829] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:52.842] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.854] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:52.866] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.878] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.890] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.902] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:52.915] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:52.927] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.939] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:52.951] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:52.963] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:52.981] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:52.989] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:53.000] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:53.012] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.024] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.039] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.050] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:53.061] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.073] tag=0x0001  rs= 0  na= 1 | 1006 : 6538
[2026-05-05 15:39:53.085] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.097] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:53.112] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.123] tag=0x0001  rs= 0  na= 1 | 1006 : 6557
[2026-05-05 15:39:53.134] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.146] tag=0x0001  rs= 0  na= 1 | 1006 : 6557
[2026-05-05 15:39:53.160] tag=0x0001  rs= 0  na= 1 | 1006 : 6538
[2026-05-05 15:39:53.172] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:53.183] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.195] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.207] tag=0x0001  rs= 0  na= 1 | 1006 : 6557
[2026-05-05 15:39:53.219] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.232] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:53.244] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.256] tag=0x0001  rs= 0  na= 1 | 1006 : 6557
[2026-05-05 15:39:53.268] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:53.282] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.293] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.305] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:53.318] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.330] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.342] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.354] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.366] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.378] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.390] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:53.402] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:53.414] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.426] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.439] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:53.451] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.464] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.476] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.488] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:53.500] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:53.512] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.524] tag=0x0001  rs= 0  na= 1 | 1006 : 6538
[2026-05-05 15:39:53.536] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:53.548] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.560] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:53.573] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:53.585] tag=0x0001  rs= 0  na= 1 | 1006 : 6538
[2026-05-05 15:39:53.597] tag=0x0001  rs= 0  na= 1 | 1006 : 6613
[2026-05-05 15:39:53.609] tag=0x0001  rs= 0  na= 1 | 1006 : 6604
[2026-05-05 15:39:53.621] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:53.634] tag=0x0001  rs= 0  na= 1 | 1006 : 6585
[2026-05-05 15:39:53.646] tag=0x0001  rs= 0  na= 1 | 1006 : 6576
[2026-05-05 15:39:53.658] tag=0x0001  rs= 0  na= 1 | 1006 : 6557
[2026-05-05 15:39:53.670] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.682] tag=0x0001  rs= 0  na= 1 | 1006 : 6623
[2026-05-05 15:39:53.694] tag=0x0001  rs= 0  na= 1 | 1006 : 6557
[2026-05-05 15:39:53.707] tag=0x0001  rs= 0  na= 1 | 1006 : 6566
[2026-05-05 15:39:53.719] tag=0x0001  rs= 0  na= 1 | 1006 : 6642
[2026-05-05 15:39:53.732] tag=0x0001  rs= 0  na= 1 | 1006 : 6595
[2026-05-05 15:39:53.743] tag=0x0001  rs= 0  na= 1 | 1006 : 6557
