[2026-05-05 15:56:40.363] tag=0x0006  rs= 1  na= 1 | 1001 : 6623
[2026-05-05 15:56:40.374] tag=0x0006  rs= 1  na= 1 | 1001 : 6632
[2026-05-05 15:56:40.386] tag=0x0006  rs= 1  na= 1 | 1001 : 6613
[2026-05-05 15:56:40.399] tag=0x0006  rs= 1  na= 1 | 1001 : 6613
[2026-05-05 15:56:40.411] tag=0x0006  rs= 1  na= 1 | 1001 : 6623
[2026-05-05 15:56:40.423] tag=0x0006  rs= 1  na= 1 | 1001 : 6595
[2026-05-05 15:56:40.436] tag=0x0006  rs= 1  na= 1 | 1001 : 6585
[2026-05-05 15:56:40.448] tag=0x0006  rs= 1  na= 1 | 1001 : 6613
[2026-05-05 15:56:40.461] tag=0x0006  rs= 1  na= 1 | 1001 : 6632
[2026-05-05 15:56:40.473] tag=0x0006  rs= 1  na= 1 | 1001 : 6595
[2026-05-05 15:56:40.485] tag=0x0006  rs= 1  na= 1 | 1001 : 6595
[2026-05-05 15:56:40.498] tag=0x0006  rs= 1  na= 1 | 1001 : 6642
[2026-05-05 15:56:40.510] tag=0x0006  rs= 1  na= 1 | 1001 : 6604
[2026-05-05 15:56:40.523] tag=0x0006  rs= 1  na= 1 | 1001 : 6642
[2026-05-05 15:56:40.535] tag=0x0006  rs= 1  na= 1 | 1001 : 6632
[2026-05-05 15:56:40.547] tag=0x0006  rs= 1  na= 1 | 1001 : 6595
[2026-05-05 15:56:40.560] tag=0x0006  rs= 1  na= 1 | 1001 : 6688
[2026-05-05 15:56:40.572] tag=0x0006  rs= 1  na= 1 | 1001 : 6604
[2026-05-05 15:56:40.585] tag=0x0006  rs= 1  na= 1 | 1001 : 6623
[2026-05-05 15:56:40.598] tag=0x0006  rs= 1  na= 1 | 1001 : 6660
[2026-05-05 15:56:40.610] tag=0x0006  rs= 1  na= 1 | 1001 : 6604
[2026-05-05 15:56:40.622] tag=0x0006  rs= 1  na= 1 | 1001 : 6632
[2026-05-05 15:56:40.635] tag=0x0006  rs= 1  na= 1 | 1001 : 6613
[2026-05-05 15:56:40.649] tag=0x0006  rs= 1  na= 1 | 1001 : 6623
[2026-05-05 15:56:40.660] tag=0x0006  rs= 1  na= 1 | 1001 : 6595
[2026-05-05 15:56:40.673] tag=0x0006  rs= 1  na= 1 | 1001 : 6595
[2026-05-05 15:56:40.684] tag=0x0006  rs= 1  na= 1 | 1001 : 6642
[2026-05-05 15:56:40.696] tag=0x0006  rs= 1  na= 1 | 1001 : 6660
[2026-05-05 15:56:40.709] tag=0x0006  rs= 1  na= 1 | 1001 : 6632
[2026-05-05 15:56:40.721] tag=0x0006  rs= 1  na= 1 | 1001 : 6595
[2026-05-05 15:56:40.734] tag=0x0006  rs= 1  na= 1 | 1001 : 6632
[2026-05-05 15:56:40.746] tag=0x0006  rs= 1  na= 1 | 1001 : 6660
[2026-05-05 15:56:40.758] tag=0x0006  rs= 1  na= 1 | 1001 : 6642
[2026-05-05 15:56:40.771] tag=0x0006  rs= 1  na= 1 | 1001 : 6623
[2026-05-05 15:56:40.783] tag=0x0006  rs= 1  na= 1 | 1001 : 6585
[2026-05-05 15:56:40.796] tag=0x0006  rs= 1  na= 1 | 1001 : 6623
[2026-05-05 15:56:40.809] tag=0x0006  rs= 1  na= 1 | 1001 : 6604
[2026-05-05 15:56:40.820] tag=0x0006  rs= 1  na= 1 | 1001 : 6604
[2026-05-05 15:56:40.833] tag=0x0006  rs= 1  na= 1 | 1001 : 6632
[2026-05-05 15:56:40.845] tag=0x0006  rs= 1  na= 1 | 1001 : 6660
[2026-05-05 15:56:40.858] tag=0x0006  rs= 1  na= 1 | 1001 : 6613
[2026-05-05 15:56:40.870] tag=0x0006  rs= 1  na= 1 | 1001 : 6623
[2026-05-05 15:56:40.884] tag=0x0006  rs= 1  na= 1 | 1001 : 6585
[2026-05-05 15:56:40.896] tag=0x0006  rs= 1  na= 1 | 1001 : 6576
