[2026-05-05 15:43:31.793] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.805] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.818] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:31.831] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:31.844] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.856] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:31.866] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:31.878] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:31.890] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.904] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:31.917] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:31.929] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.939] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:31.951] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:31.965] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:31.978] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:31.990] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.002] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.014] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.026] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.039] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.051] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.063] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.075] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.088] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.099] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.112] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.124] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.136] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.148] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:32.160] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.173] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.185] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.198] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.209] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.220] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.232] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.246] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.257] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.270] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.282] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.295] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:32.307] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.319] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:32.331] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.342] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.355] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:32.367] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.380] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.392] tag=0x0001  rs= 0  na= 1 | 1008 : 6698
[2026-05-05 15:43:32.405] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.416] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:32.427] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:32.441] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:32.451] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.464] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:32.476] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.488] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.499] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.514] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.525] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.537] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.548] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.561] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.574] tag=0x0001  rs= 0  na= 1 | 1008 : 6595
[2026-05-05 15:43:32.586] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.598] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.610] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:32.622] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.633] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:32.647] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.659] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.671] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.683] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.696] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.708] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:32.720] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:32.732] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.743] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.756] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.768] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.781] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.792] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.806] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:32.818] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.829] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.842] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.855] tag=0x0001  rs= 0  na= 1 | 1008 : 6604
[2026-05-05 15:43:32.866] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.878] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:32.890] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.902] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:32.915] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:32.927] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.939] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:32.951] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:32.963] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:32.976] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:32.988] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
