[2026-05-05 15:19:43.006] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.018] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.030] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.042] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.055] tag=0x0001  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:19:43.067] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.079] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.091] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.103] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.116] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.128] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.140] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.152] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.164] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.176] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.189] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.201] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.213] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.225] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.237] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.250] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.262] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.274] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.286] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.298] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:19:43.313] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.323] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:19:43.335] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.347] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.360] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.372] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.385] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.397] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.413] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.420] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.432] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.445] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:19:43.457] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.469] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.481] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.493] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.505] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.518] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.530] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.542] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.554] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.566] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.580] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.592] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.603] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.615] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.627] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.639] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.652] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:43.664] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.676] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.688] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.700] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.713] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:43.725] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.737] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.748] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:43.761] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.774] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.786] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.798] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.810] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.822] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.834] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.847] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:43.859] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.871] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:43.883] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.895] tag=0x0001  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:19:43.908] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.920] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.933] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:43.944] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.956] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:43.969] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:43.981] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:43.998] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:44.006] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:44.019] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:44.030] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.043] tag=0x0001  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:19:44.055] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:19:44.066] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:44.079] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:19:44.091] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:44.102] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.115] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:44.127] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.139] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.151] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:44.163] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:44.176] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.188] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.200] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:44.212] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:44.225] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:44.238] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:44.250] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.261] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.274] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:44.286] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.297] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:44.310] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:44.323] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.334] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.346] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.358] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.371] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:19:44.384] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.396] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:44.409] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.420] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:19:44.434] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.445] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:44.457] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.468] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:19:44.481] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.493] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:44.506] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.518] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:44.529] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:19:44.541] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:19:44.553] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:19:44.566] tag=0x0001  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:19:44.579] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
