[2026-05-05 15:21:45.729] tag=0x0001  rs= 0  na= 1 | 1002 : 6632
[2026-05-05 15:21:45.741] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:45.753] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:45.766] tag=0x0001  rs= 0  na= 1 | 1002 : 6585
[2026-05-05 15:21:45.778] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:45.790] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:45.802] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:45.815] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:45.828] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:45.840] tag=0x0001  rs= 0  na= 1 | 1002 : 6595
[2026-05-05 15:21:45.852] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:45.863] tag=0x0001  rs= 0  na= 1 | 1002 : 6585
[2026-05-05 15:21:45.876] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:45.887] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:45.900] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:45.914] tag=0x0001  rs= 0  na= 1 | 1002 : 6585
[2026-05-05 15:21:45.924] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:45.936] tag=0x0001  rs= 0  na= 1 | 1002 : 6576
[2026-05-05 15:21:45.948] tag=0x0001  rs= 0  na= 1 | 1002 : 6604
[2026-05-05 15:21:45.961] tag=0x0001  rs= 0  na= 1 | 1002 : 6632
[2026-05-05 15:21:45.973] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:45.985] tag=0x0001  rs= 0  na= 1 | 1002 : 6632
[2026-05-05 15:21:45.997] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.008] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.022] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.034] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.045] tag=0x0001  rs= 0  na= 1 | 1002 : 6585
[2026-05-05 15:21:46.058] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.070] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.088] tag=0x0001  rs= 0  na= 1 | 1002 : 6595
[2026-05-05 15:21:46.094] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.107] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.119] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.131] tag=0x0001  rs= 0  na= 1 | 1002 : 6632
[2026-05-05 15:21:46.143] tag=0x0001  rs= 0  na= 1 | 1002 : 6651
[2026-05-05 15:21:46.157] tag=0x0001  rs= 0  na= 1 | 1002 : 6632
[2026-05-05 15:21:46.168] tag=0x0001  rs= 0  na= 1 | 1002 : 6651
[2026-05-05 15:21:46.180] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.191] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.204] tag=0x0001  rs= 0  na= 1 | 1002 : 6632
[2026-05-05 15:21:46.216] tag=0x0001  rs= 0  na= 1 | 1002 : 6595
[2026-05-05 15:21:46.229] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.240] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.252] tag=0x0001  rs= 0  na= 1 | 1002 : 6576
[2026-05-05 15:21:46.265] tag=0x0001  rs= 0  na= 1 | 1002 : 6604
[2026-05-05 15:21:46.277] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.290] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.301] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.313] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.326] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.338] tag=0x0001  rs= 0  na= 1 | 1002 : 6604
[2026-05-05 15:21:46.350] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.363] tag=0x0001  rs= 0  na= 1 | 1002 : 6642
[2026-05-05 15:21:46.375] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.387] tag=0x0001  rs= 0  na= 1 | 1002 : 6613
[2026-05-05 15:21:46.398] tag=0x0001  rs= 0  na= 1 | 1002 : 6632
[2026-05-05 15:21:46.411] tag=0x0001  rs= 0  na= 1 | 1002 : 6585
[2026-05-05 15:21:46.424] tag=0x0001  rs= 0  na= 1 | 1002 : 6623
[2026-05-05 15:21:46.436] tag=0x0001  rs= 0  na= 1 | 1002 : 6651
