[2026-05-05 15:52:08.676] tag=0x0002  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 15:52:08.688] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:08.700] tag=0x0002  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:52:08.712] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:08.725] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:08.737] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:08.749] tag=0x0002  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:52:08.761] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:08.774] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:08.786] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:08.798] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:08.810] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:08.825] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:08.835] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:08.847] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:08.859] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:08.872] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:08.884] tag=0x0002  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:52:08.896] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:08.908] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:08.921] tag=0x0002  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:52:08.933] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:08.945] tag=0x0002  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:52:08.957] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:08.969] tag=0x0002  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:52:08.982] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:08.994] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:09.006] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.018] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.031] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.043] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.060] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:09.067] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:09.081] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.092] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:09.104] tag=0x0002  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 15:52:09.116] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.129] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.141] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.153] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:09.165] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.178] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.190] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:09.202] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:09.214] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.227] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.239] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.251] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.263] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.277] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.288] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.300] tag=0x0002  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 15:52:09.313] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.326] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.338] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.350] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.362] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.375] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.387] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.400] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:09.411] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.423] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:09.435] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.448] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.459] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.471] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.486] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.497] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.509] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.521] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.534] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.546] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.558] tag=0x0002  rs= 0  na= 1 | 1001 : 6688
[2026-05-05 15:52:09.570] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.582] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.594] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.606] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.618] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.631] tag=0x0002  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:52:09.643] tag=0x0002  rs= 0  na= 1 | 1001 : 6679
[2026-05-05 15:52:09.657] tag=0x0002  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:52:09.667] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:09.680] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.692] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.704] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:09.716] tag=0x0002  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:52:09.729] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.742] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.753] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.765] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.778] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.790] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.802] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.814] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.827] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:09.839] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.852] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.863] tag=0x0002  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:52:09.875] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:09.888] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.900] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.914] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:09.924] tag=0x0002  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:52:09.937] tag=0x0002  rs= 0  na= 1 | 1001 : 6670
[2026-05-05 15:52:09.951] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.964] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:09.974] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:09.987] tag=0x0002  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:52:09.999] tag=0x0002  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:52:10.012] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:10.023] tag=0x0002  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:52:10.035] tag=0x0002  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:52:10.048] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:52:10.060] tag=0x0002  rs= 0  na= 1 | 1001 : 6632
