[2026-05-05 15:28:00.710] tag=0x0001  rs= 0  na= 1 | 1004 : 6566
[2026-05-05 15:28:00.721] tag=0x0001  rs= 0  na= 1 | 1004 : 6585
[2026-05-05 15:28:00.734] tag=0x0001  rs= 0  na= 1 | 1004 : 6595
[2026-05-05 15:28:00.747] tag=0x0001  rs= 0  na= 1 | 1004 : 6623
[2026-05-05 15:28:00.764] tag=0x0001  rs= 0  na= 1 | 1004 : 6548
[2026-05-05 15:28:00.772] tag=0x0001  rs= 0  na= 1 | 1004 : 6566
[2026-05-05 15:28:00.783] tag=0x0001  rs= 0  na= 1 | 1004 : 6585
[2026-05-05 15:28:00.794] tag=0x0001  rs= 0  na= 1 | 1004 : 6557
[2026-05-05 15:28:00.806] tag=0x0001  rs= 0  na= 1 | 1004 : 6604
[2026-05-05 15:28:00.819] tag=0x0001  rs= 0  na= 1 | 1004 : 6585
[2026-05-05 15:28:00.831] tag=0x0001  rs= 0  na= 1 | 1004 : 6576
[2026-05-05 15:28:00.845] tag=0x0001  rs= 0  na= 1 | 1004 : 6595
[2026-05-05 15:28:00.856] tag=0x0001  rs= 0  na= 1 | 1004 : 6613
[2026-05-05 15:28:00.868] tag=0x0001  rs= 0  na= 1 | 1004 : 6576
[2026-05-05 15:28:00.880] tag=0x0001  rs= 0  na= 1 | 1004 : 6613
[2026-05-05 15:28:00.892] tag=0x0001  rs= 0  na= 1 | 1004 : 6595
[2026-05-05 15:28:00.904] tag=0x0001  rs= 0  na= 1 | 1004 : 6548
[2026-05-05 15:28:00.916] tag=0x0001  rs= 0  na= 1 | 1004 : 6604
[2026-05-05 15:28:00.929] tag=0x0001  rs= 0  na= 1 | 1004 : 6576
[2026-05-05 15:28:00.940] tag=0x0001  rs= 0  na= 1 | 1004 : 6548
[2026-05-05 15:28:00.953] tag=0x0001  rs= 0  na= 1 | 1004 : 6566
[2026-05-05 15:28:00.967] tag=0x0001  rs= 0  na= 1 | 1004 : 6576
[2026-05-05 15:28:00.978] tag=0x0001  rs= 0  na= 1 | 1004 : 6595
[2026-05-05 15:28:00.989] tag=0x0001  rs= 0  na= 1 | 1004 : 6613
[2026-05-05 15:28:01.003] tag=0x0001  rs= 0  na= 1 | 1004 : 6557
[2026-05-05 15:28:01.013] tag=0x0001  rs= 0  na= 1 | 1004 : 6585
[2026-05-05 15:28:01.026] tag=0x0001  rs= 0  na= 1 | 1004 : 6623
[2026-05-05 15:28:01.038] tag=0x0001  rs= 0  na= 1 | 1004 : 6566
[2026-05-05 15:28:01.051] tag=0x0001  rs= 0  na= 1 | 1004 : 6595
[2026-05-05 15:28:01.062] tag=0x0001  rs= 0  na= 1 | 1004 : 6557
[2026-05-05 15:28:01.074] tag=0x0001  rs= 0  na= 1 | 1004 : 6604
[2026-05-05 15:28:01.087] tag=0x0001  rs= 0  na= 1 | 1004 : 6623
[2026-05-05 15:28:01.100] tag=0x0001  rs= 0  na= 1 | 1004 : 6585
[2026-05-05 15:28:01.111] tag=0x0001  rs= 0  na= 1 | 1004 : 6613
[2026-05-05 15:28:01.123] tag=0x0001  rs= 0  na= 1 | 1004 : 6623
[2026-05-05 15:28:01.135] tag=0x0001  rs= 0  na= 1 | 1004 : 6576
[2026-05-05 15:28:01.148] tag=0x0001  rs= 0  na= 1 | 1004 : 6585
[2026-05-05 15:28:01.160] tag=0x0001  rs= 0  na= 1 | 1004 : 6585
