[2026-05-05 16:04:20.910] tag=0x0001  rs= 0  na= 1 | 1009 : 6642
[2026-05-05 16:04:20.922] tag=0x0001  rs= 0  na= 1 | 1009 : 6632
[2026-05-05 16:04:20.935] tag=0x0001  rs= 0  na= 1 | 1009 : 6623
[2026-05-05 16:04:20.947] tag=0x0001  rs= 0  na= 1 | 1009 : 6632
[2026-05-05 16:04:20.959] tag=0x0001  rs= 0  na= 1 | 1009 : 6604
[2026-05-05 16:04:20.971] tag=0x0001  rs= 0  na= 1 | 1009 : 6642
[2026-05-05 16:04:20.983] tag=0x0001  rs= 0  na= 1 | 1009 : 6642
[2026-05-05 16:04:20.996] tag=0x0001  rs= 0  na= 1 | 1009 : 6613
[2026-05-05 16:04:21.008] tag=0x0001  rs= 0  na= 1 | 1009 : 6613
[2026-05-05 16:04:21.020] tag=0x0001  rs= 0  na= 1 | 1009 : 6623
[2026-05-05 16:04:21.032] tag=0x0001  rs= 0  na= 1 | 1009 : 6632
[2026-05-05 16:04:21.044] tag=0x0001  rs= 0  na= 1 | 1009 : 6613
[2026-05-05 16:04:21.057] tag=0x0001  rs= 0  na= 1 | 1009 : 6660
[2026-05-05 16:04:21.070] tag=0x0001  rs= 0  na= 1 | 1009 : 6604
[2026-05-05 16:04:21.081] tag=0x0001  rs= 0  na= 1 | 1009 : 6651
[2026-05-05 16:04:21.093] tag=0x0001  rs= 0  na= 1 | 1009 : 6623
[2026-05-05 16:04:21.105] tag=0x0001  rs= 0  na= 1 | 1009 : 6623
[2026-05-05 16:04:21.117] tag=0x0001  rs= 0  na= 1 | 1009 : 6613
[2026-05-05 16:04:21.130] tag=0x0001  rs= 0  na= 1 | 1009 : 6623
[2026-05-05 16:04:21.142] tag=0x0001  rs= 0  na= 1 | 1009 : 6651
[2026-05-05 16:04:21.154] tag=0x0001  rs= 0  na= 1 | 1009 : 6613
[2026-05-05 16:04:21.169] tag=0x0001  rs= 0  na= 1 | 1009 : 6660
[2026-05-05 16:04:21.178] tag=0x0001  rs= 0  na= 1 | 1009 : 6632
[2026-05-05 16:04:21.193] tag=0x0001  rs= 0  na= 1 | 1009 : 6651
[2026-05-05 16:04:21.204] tag=0x0001  rs= 0  na= 1 | 1009 : 6642
[2026-05-05 16:04:21.216] tag=0x0001  rs= 0  na= 1 | 1009 : 6632
