[2026-05-05 15:41:11.705] tag=0x0001  rs= 0  na= 1 | 1007 : 6595
[2026-05-05 15:41:11.717] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.730] tag=0x0001  rs= 0  na= 1 | 1007 : 6585
[2026-05-05 15:41:11.742] tag=0x0001  rs= 0  na= 1 | 1007 : 6604
[2026-05-05 15:41:11.754] tag=0x0001  rs= 0  na= 1 | 1007 : 6604
[2026-05-05 15:41:11.766] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.778] tag=0x0001  rs= 0  na= 1 | 1007 : 6623
[2026-05-05 15:41:11.791] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.803] tag=0x0001  rs= 0  na= 1 | 1007 : 6595
[2026-05-05 15:41:11.815] tag=0x0001  rs= 0  na= 1 | 1007 : 6632
[2026-05-05 15:41:11.828] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.839] tag=0x0001  rs= 0  na= 1 | 1007 : 6595
[2026-05-05 15:41:11.852] tag=0x0001  rs= 0  na= 1 | 1007 : 6595
[2026-05-05 15:41:11.865] tag=0x0001  rs= 0  na= 1 | 1007 : 6576
[2026-05-05 15:41:11.877] tag=0x0001  rs= 0  na= 1 | 1007 : 6595
[2026-05-05 15:41:11.888] tag=0x0001  rs= 0  na= 1 | 1007 : 6585
[2026-05-05 15:41:11.902] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.913] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.931] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.938] tag=0x0001  rs= 0  na= 1 | 1007 : 6651
[2026-05-05 15:41:11.950] tag=0x0001  rs= 0  na= 1 | 1007 : 6632
[2026-05-05 15:41:11.962] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:11.974] tag=0x0001  rs= 0  na= 1 | 1007 : 6585
[2026-05-05 15:41:11.987] tag=0x0001  rs= 0  na= 1 | 1007 : 6595
[2026-05-05 15:41:12.003] tag=0x0001  rs= 0  na= 1 | 1007 : 6566
[2026-05-05 15:41:12.011] tag=0x0001  rs= 0  na= 1 | 1007 : 6595
[2026-05-05 15:41:12.023] tag=0x0001  rs= 0  na= 1 | 1007 : 6604
[2026-05-05 15:41:12.034] tag=0x0001  rs= 0  na= 1 | 1007 : 6585
[2026-05-05 15:41:12.046] tag=0x0001  rs= 0  na= 1 | 1007 : 6585
[2026-05-05 15:41:12.059] tag=0x0001  rs= 0  na= 1 | 1007 : 6585
[2026-05-05 15:41:12.071] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:12.083] tag=0x0001  rs= 0  na= 1 | 1007 : 6585
[2026-05-05 15:41:12.096] tag=0x0001  rs= 0  na= 1 | 1007 : 6613
[2026-05-05 15:41:12.107] tag=0x0001  rs= 0  na= 1 | 1007 : 6576
[2026-05-05 15:41:12.119] tag=0x0001  rs= 0  na= 1 | 1007 : 6576
[2026-05-05 15:41:12.132] tag=0x0001  rs= 0  na= 1 | 1007 : 6576
