[2026-05-05 15:53:11.899] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:11.912] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:11.924] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:11.936] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:11.948] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:11.961] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:11.973] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:11.985] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:11.998] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.010] tag=0x0003  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:53:12.022] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.034] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.047] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.059] tag=0x0003  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:53:12.071] tag=0x0003  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:53:12.088] tag=0x0003  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:53:12.096] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.108] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.121] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.132] tag=0x0003  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:53:12.145] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.158] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.170] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.182] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.195] tag=0x0003  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:53:12.207] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.218] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.232] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.243] tag=0x0003  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:53:12.255] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.267] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.279] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.292] tag=0x0003  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:53:12.304] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.316] tag=0x0003  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:53:12.328] tag=0x0003  rs= 0  na= 1 | 1001 : 6660
[2026-05-05 15:53:12.341] tag=0x0003  rs= 0  na= 1 | 1001 : 6651
[2026-05-05 15:53:12.354] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.365] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.378] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.391] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.402] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.414] tag=0x0003  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:53:12.427] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.440] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.451] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.463] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.476] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.488] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.500] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.512] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.525] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.537] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.549] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.561] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.574] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.586] tag=0x0003  rs= 0  na= 1 | 1001 : 6642
[2026-05-05 15:53:12.598] tag=0x0003  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:53:12.610] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.624] tag=0x0003  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:53:12.636] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.647] tag=0x0003  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:53:12.659] tag=0x0003  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:53:12.672] tag=0x0003  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:53:12.684] tag=0x0003  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:53:12.696] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.708] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.721] tag=0x0003  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:53:12.733] tag=0x0003  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:53:12.745] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.757] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.770] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.782] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.794] tag=0x0003  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:53:12.806] tag=0x0003  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:53:12.819] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.831] tag=0x0003  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:53:12.843] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.856] tag=0x0003  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:53:12.868] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:53:12.880] tag=0x0003  rs= 0  na= 1 | 1001 : 6632
[2026-05-05 15:53:12.892] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.905] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.917] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.929] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.941] tag=0x0003  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:53:12.954] tag=0x0003  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:53:12.966] tag=0x0003  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:53:12.978] tag=0x0003  rs= 0  na= 1 | 1001 : 6613
