[2026-05-05 15:50:43.702] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:50:43.714] tag=0x0001  rs= 0  na= 1 | 1001 : 6510
[2026-05-05 15:50:43.726] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:43.738] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:43.750] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:43.763] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:43.774] tag=0x0001  rs= 0  na= 1 | 1001 : 6501
[2026-05-05 15:50:43.785] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:50:43.796] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:43.808] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:50:43.820] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:43.832] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:50:43.844] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:43.857] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:43.869] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:43.879] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:50:43.891] tag=0x0001  rs= 0  na= 1 | 1001 : 6510
[2026-05-05 15:50:43.903] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:43.914] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:43.926] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:43.938] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:43.950] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:43.962] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:50:43.974] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:43.985] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:43.996] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:44.008] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:44.019] tag=0x0001  rs= 0  na= 1 | 1001 : 6510
[2026-05-05 15:50:44.031] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.043] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.054] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:44.067] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:44.077] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:44.089] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.101] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.113] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.125] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.136] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.152] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:44.159] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.171] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.183] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:44.195] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.206] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:50:44.218] tag=0x0001  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:50:44.230] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:44.242] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:50:44.253] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:44.265] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.277] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:50:44.288] tag=0x0001  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:50:44.300] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:50:44.312] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:44.324] tag=0x0001  rs= 0  na= 1 | 1001 : 6510
[2026-05-05 15:50:44.335] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:50:44.347] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:44.359] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.370] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.382] tag=0x0001  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:50:44.394] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:44.406] tag=0x0001  rs= 0  na= 1 | 1001 : 6520
[2026-05-05 15:50:44.417] tag=0x0001  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:50:44.430] tag=0x0001  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:50:44.443] tag=0x0001  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:50:44.453] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.467] tag=0x0001  rs= 0  na= 1 | 1001 : 6538
[2026-05-05 15:50:44.478] tag=0x0001  rs= 0  na= 1 | 1001 : 6529
[2026-05-05 15:50:44.489] tag=0x0001  rs= 0  na= 1 | 1001 : 6548
